PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
1	Howard	Howard, Josh	NBA	UTA	2011-2012	3	SeasonStart	2011-12-01	2012-07-01
2	Thomas	Thomas, Kurt	NBA	POR	2011-2012	4.48	SeasonStart	2011-12-01	2012-07-01
3	Dampier	Dampier, Erick	NBA	ATL	2011-2012	4.99	20120210ATLORL	2012-02-09	2012-07-01
4	Marion	Marion, Shawn	NBA	DAL	2011-2012	3.5	SeasonStart	2011-12-01	2012-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2011-2012	4.01	SeasonStart	2011-12-01	2012-07-01
6	Terry	Terry, Jason	NBA	DAL	2011-2012	1.5	SeasonStart	2011-12-01	2012-07-01
7	Bell	Bell, Raja	NBA	UTA	2011-2012	1.98	SeasonStart	2011-12-01	2012-07-01
8	Nash	Nash, Steve	NBA	PHX	2011-2012	1	SeasonStart	2011-12-01	2012-07-01
10	Jones	Jones, James	NBA	MIA	2011-2012	2.99	SeasonStart	2011-12-01	2012-07-01
12	Diaw	Diaw, Boris	NBA	SAS	2011-2012	4.5	20120323DALSAS	2012-03-23	2012-07-01
12	Diaw	Diaw, Boris	NBA	CHA	2011-2012	4.5	SeasonStart	2011-12-01	2012-03-21
14	Daniels	Daniels, Marquis	NBA	BOS	2011-2012	2.48	SeasonStart	2011-12-01	2012-07-01
15	Harris	Harris, Devin	NBA	UTA	2011-2012	1	SeasonStart	2011-12-01	2012-07-01
16	Barbosa	Barbosa, Leandro	NBA	TOR	2011-2012	1.99	SeasonStart	2011-12-01	2012-03-15
16	Barbosa	Barbosa, Leandro	NBA	IND	2011-2012	1.99	20120320LACIND	2012-03-15	2012-07-01
17	Diop	Diop, DeSagana	NBA	CHA	2011-2012	5	SeasonStart	2011-12-01	2012-07-01
21	Martin	Martin, Kenyon	NBA	LAC	2011-2012	4.01	20120208LACCLE	2012-02-03	2012-07-01
23	Camby	Camby, Marcus	NBA	POR	2011-2012	4.51	SeasonStart	2011-12-01	2012-03-15
23	Camby	Camby, Marcus	NBA	HOU	2011-2012	4.51	20120318HOUPHX	2012-03-15	2012-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2011-2012	2.5	SeasonStart	2011-12-01	2012-07-01
25	Anthony	Anthony, Carmelo	NBA	NYK	2011-2012	3	SeasonStart	2011-12-01	2012-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2011-2012	4.5	SeasonStart	2011-12-01	2012-07-01
30	Parker	Parker, Tony	NBA	SAS	2011-2012	1	SeasonStart	2011-12-01	2012-07-01
31	Miller	Miller, Andre	NBA	DEN	2011-2012	1.01	SeasonStart	2011-12-01	2012-07-01
34	Nene	Hilario, Nene	NBA	WAS	2011-2012	4.51	20120321WASNJN	2012-03-15	2012-07-01
34	Nene	Hilario, Nene	NBA	DEN	2011-2012	4.51	SeasonStart	2011-12-01	2012-03-15
35	Boykins	Boykins, Earl	NBA	HOU	2011-2012	0.99	20120326SACHOU	2012-03-26	2012-07-01
36	Najera	Najera, Eduardo	NBA	CHA	2011-2012	3.99	SeasonStart	2011-12-01	2012-07-01
40	Mohammed	Mohammed, Nazr	NBA	OKC	2011-2012	4.98	SeasonStart	2011-12-01	2012-07-01
42	Elson	Elson, Francisco	NBA	PHI	2011-2012	4.97	20120127CHAPHI	2012-01-27	2012-07-01
45	Redd	Redd, Michael	NBA	PHX	2011-2012	2	20120112CLEPHX	2011-12-29	2012-07-01
47	Ford	Ford, T.J.	NBA	SAS	2011-2012	1.01	SeasonStart	2011-12-01	2012-07-01
48	Simmons	Simmons, Bobby	NBA	LAC	2011-2012	2.99	20120228MINLAC	2012-02-28	2012-07-01
49	Bogut	Bogut, Andrew	NBA	MIL	2011-2012	5	SeasonStart	2011-12-01	2012-07-01
51	Magloire	Magloire, Jamaal	NBA	TOR	2011-2012	4.98	SeasonStart	2011-12-01	2012-07-01
52	Iguodala	Iguodala, Andre	NBA	PHI	2011-2012	2.5	SeasonStart	2011-12-01	2012-07-01
54	Korver	Korver, Kyle	NBA	CHI	2011-2012	2.99	SeasonStart	2011-12-01	2012-07-01
55	Williams	Williams, Mo	NBA	LAC	2011-2012	1.02	SeasonStart	2011-12-01	2012-07-01
56	Gadzuric	Gadzuric, Dan	NBA	NYK	2011-2012	5.01	20120425LACNYK	2012-04-25	2012-07-01
59	Salmons	Salmons, John	NBA	SAC	2011-2012	2.51	SeasonStart	2011-12-01	2012-07-01
63	Smith	Smith, J.R.	NBA	NYK	2011-2012	2.01	20120219DALNYK	2012-02-17	2012-07-01
65	Miller	Miller, Brad	NBA	MIN	2011-2012	4.51	SeasonStart	2011-12-01	2012-07-01
68	Bibby	Bibby, Mike	NBA	NYK	2011-2012	1	SeasonStart	2011-12-01	2012-07-01
69	West	West, David	NBA	IND	2011-2012	4	SeasonStart	2011-12-01	2012-07-01
70	Paul	Paul, Chris	NBA	LAC	2011-2012	1	SeasonStart	2011-12-01	2012-07-01
73	Andersen	Andersen, Chris	NBA	DEN	2011-2012	4.5	SeasonStart	2011-12-01	2012-07-01
76	Butler	Butler, Rasual	NBA	TOR	2011-2012	2.98	SeasonStart	2011-12-01	2012-07-01
77	Martin	Martin, Kevin	NBA	HOU	2011-2012	2	SeasonStart	2011-12-01	2012-07-01
80	Garcia	Garcia, Francisco	NBA	SAC	2011-2012	2.5	SeasonStart	2011-12-01	2012-07-01
83	Bass	Bass, Brandon	NBA	BOS	2011-2012	4	SeasonStart	2011-12-01	2012-07-01
85	Price	Price, Ronnie	NBA	PHX	2011-2012	0.99	SeasonStart	2011-12-01	2012-07-01
86	J. Johnson	Johnson, Joe	NBA	ATL	2011-2012	2	SeasonStart	2011-12-01	2012-07-01
87	Davis	Davis, Baron	NBA	NYK	2011-2012	1.01	SeasonStart	2011-12-01	2012-07-01
88	Pachulia	Pachulia, Zaza	NBA	ATL	2011-2012	5	SeasonStart	2011-12-01	2012-07-01
89	Murphy	Murphy, Troy	NBA	LAL	2011-2012	4.02	SeasonStart	2011-12-01	2012-07-01
