PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	UTA	945.4667	1792	1800	1862	1904	103.906	105.778	-1.87153	370	304	618	630	0.37	0.670282	1979.5333	3797	3784	4034	4023	106.242	106.316	-0.0743	745	650	1374	1291	0.3659	0.6789	-1.87153	0.37	0.670282	-1.7972	0.0041	-0.0086	-5.21582	3.55598
2	Thomas, Kurt	POR	711.9500	1366	1340	1381	1336	101.098	99.7015	1.3966	194	232	483	525	0.269819	0.675524	2049.0500	3886	3885	4154	4144	106.897	106.667	0.2299	677	702	1346	1390	0.3275	0.6572	1.3966	0.269819	0.675524	1.1667	-0.0577	0.0183	0.539286	3.5848
3	Dampier, Erick	ATL	68.1500	128	129	143	133	111.719	103.101	8.61798	27	17	47	43	0.385714	0.734375	2371.8500	4466	4479	4640	4552	103.896	101.63	2.2663	734	748	1631	1654	0.3074	0.6856	8.61798	0.385714	0.734375	6.3517	0.0783	0.0488	NULL	NULL
4	Marion, Shawn	DAL	1834.2333	3480	3521	3533	3598	101.523	102.187	-0.66389	579	590	1304	1324	0.304256	0.68849	1234.7667	2366	2338	2503	2374	105.79	101.54	4.2506	325	405	895	899	0.2655	0.6885	-0.66389	0.304256	0.68849	-4.9145	0.0388	0	-5.88018	2.99657
5	Nowitzki, Dirk	DAL	2025.8500	3858	3824	4102	3841	106.325	100.445	5.87996	575	613	1467	1426	0.287356	0.705288	1043.1500	1988	2035	1934	2131	97.2837	104.717	-7.4337	329	382	732	797	0.2922	0.6571	5.87996	0.287356	0.705288	13.3137	-0.0048	0.0482	13.9845	2.8042
6	Terry, Jason	DAL	1913.2500	3639	3629	3802	3803	104.479	104.795	-0.315457	574	640	1319	1373	0.294813	0.673303	1155.7500	2207	2230	2234	2169	101.223	97.2646	3.9588	330	355	880	850	0.2797	0.7126	-0.315457	0.294813	0.673303	-4.2743	0.0151	-0.0393	-0.683854	2.77393
7	Bell, Raja	UTA	774.0833	1452	1454	1560	1584	107.438	108.941	-1.50284	244	243	503	531	0.314839	0.674263	2150.9167	4137	4130	4336	4343	104.81	105.157	-0.3471	871	711	1489	1390	0.3852	0.6768	-1.50284	0.314839	0.674263	-1.1557	-0.0704	-0.0025	-10.8325	3.70892
8	Nash, Steve	PHX	1886.5833	3714	3686	4060	3879	109.316	105.236	4.08007	585	642	1366	1280	0.313673	0.680279	1137.4167	2119	2155	2145	2331	101.227	108.167	-6.9401	398	406	728	814	0.3284	0.642	4.08007	0.313673	0.680279	11.0202	-0.0147	0.0383	10.727	4.58893
10	Jones, James	MIA	560.4500	1086	1070	1125	1085	103.591	101.402	2.18929	148	190	391	379	0.280835	0.672978	2407.5500	4571	4590	4909	4595	107.394	100.109	7.2855	794	840	1654	1541	0.34	0.6632	2.18929	0.280835	0.672978	-5.0962	-0.0592	0.0098	0.185985	3.28478
12	Diaw, Boris	CHA, SAS	1267.0667	2441	2440	2423	2624	99.2626	107.541	-8.27839	379	413	892	935	0.288432	0.683525	1934.2500	3678	3672	3684	4009	99.0014	109.923	-10.9214	655	652	1269	1378	0.322953	0.65498	-8.27839	0.288432	0.683525	2.44358	-0.0347643	0.0283443	4.68618	2.93541
