Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	2440.0000	4594	4608	4783	4685	104.114	101.671	2.44305	761	765	1678	1697	0.309601	0.68686
BOS	2894.6667	5445	5443	5465	5382	100.367	98.8793	1.48801	722	1038	2003	1990	0.266224	0.658665
CHA	2698.0000	5114	5101	4836	5656	94.5639	110.88	-16.3163	909	933	1749	1998	0.312694	0.652125
CHI	2991.0000	5578	5586	5955	5449	106.759	97.5474	9.21126	1202	994	2207	1915	0.385627	0.689472
CLE	2852.0000	5429	5445	5492	5910	101.16	108.54	-7.37951	1126	977	1888	2034	0.356329	0.658988
DAL	3069.0000	5846	5859	6036	5972	103.25	101.929	1.32143	904	995	2199	2223	0.289095	0.688478
DEN	3112.0000	6109	6125	6647	6446	108.807	105.241	3.56586	1123	988	2202	2055	0.353367	0.690282
DET	2761.0000	5171	5163	5151	5456	99.6132	105.675	-6.06177	965	901	1741	1867	0.340749	0.65897
GSW	2991.0000	5777	5780	6048	6247	104.691	108.08	-3.38857	848	1177	1971	2164	0.281541	0.626112
HOU	3069.0000	5904	5906	6170	6148	104.505	104.098	0.407892	1029	1040	2082	2116	0.327186	0.66688
IND	3101.6667	5882	5876	6236	6032	106.018	102.655	3.36349	1154	1150	2151	2089	0.355843	0.651621
LAC	3193.0000	5940	5922	6438	6269	108.384	105.86	2.52433	1232	1091	2103	2129	0.366558	0.658422
LAL	3021.0000	5712	5713	6033	5929	105.62	103.781	1.8389	1070	987	2272	1958	0.353369	0.697146
MEM	3188.0000	6051	6058	6269	6136	103.603	101.288	2.31516	1179	1055	2096	2117	0.357706	0.665186
MIA	2968.0000	5657	5660	6034	5680	106.664	100.353	6.31095	942	1030	2045	1920	0.32914	0.665041
MIL	2837.0000	5576	5565	5809	5834	104.179	104.834	-0.65516	1009	1034	1905	2050	0.329846	0.64818
MIN	3140.0000	6129	6142	6356	6504	103.704	105.894	-2.19014	1132	1080	2225	2225	0.337206	0.673222
NJN	1344.0000	2507	2509	2564	2749	102.274	109.566	-7.29193	453	492	888	921	0.329694	0.643478
NOH	2996.0000	5541	5539	5572	5792	100.559	104.568	-4.00815	964	983	2005	1934	0.332643	0.671017
NYK	2900.0000	5637	5645	5858	5728	103.921	101.47	2.4502	1023	994	1979	2009	0.337401	0.665658
OKC	3054.0000	5959	5961	6516	6154	109.347	103.238	6.10949	971	1144	2225	1964	0.330835	0.660433
ORL	2664.7833	4954	4952	5155	5136	104.057	103.716	0.341657	954	807	1860	1831	0.342549	0.697413
PHI	2842.0000	5316	5326	5527	5277	103.969	99.08	4.88916	903	937	2029	2071	0.303631	0.684086
PHX	3024.0000	5833	5841	6205	6210	106.378	106.317	0.0600958	983	1048	2094	2094	0.319467	0.666454
POR	2761.0000	5252	5225	5535	5480	105.388	104.88	0.508041	871	934	1829	1915	0.312635	0.661962
SAC	3039.0000	6008	6006	6206	6577	103.296	109.507	-6.21155	1175	1083	1996	2226	0.345487	0.648262
SAS	2851.7833	5522	5522	6123	5699	110.884	103.205	7.67838	883	863	2066	1949	0.311794	0.70536
TOR	2084.0000	3883	3884	3910	3990	100.695	102.729	-2.03381	647	734	1454	1413	0.314078	0.664534
UTA	2925.0000	5589	5584	5896	5927	105.493	106.143	-0.649618	1115	954	1992	1921	0.36726	0.676171
WAS	2645.0000	5133	5102	5130	5501	99.9416	107.82	-7.87891	935	976	1749	1888	0.331208	0.641835
